"","model","type","netCombo","baseline","CONS.s1","CONS.s2","CONS.s3","CONS.s4","CONS.ASOC.parents.solves_Mill_2","CONS.ASOC.scrounges_Mill_2","CONS.SOCIAL.parents.solves_Mill_2","CONS.SOCIAL.scrounges_Mill_2","OFFs1","OFFs2","OFFs3","OFFs4","OFFASOC.parents.solves_Mill_2","OFFASOC.scrounges_Mill_2","OFFSOCIAL.parents.solves_Mill_2","OFFSOCIAL.scrounges_Mill_2","convergence","loglik","Baseline.parameter1","Baseline.parameter2","s1","s2","s3","s4","ASOCIALparents.solves_Mill_2","ASOCIALscrounges_Mill_2","SOCIALparents.solves_Mill_2","SOCIALscrounges_Mill_2","SE.Baseline.parameter1","SE.Baseline.parameter2","SEs1","SEs2","SEs3","SEs4","SEasocialparents.solves_Mill_2","SEasocialscrounges_Mill_2","SEsocialparents.solves_Mill_2","SEsocialscrounges_Mill_2","aic","aicc","deltaAICc","RelSupport","AkaikeWeight"
"99",99,"unconstrained","0:0:1:0","weibull",0,0,1,0,2,0,3,4,0,0,0,0,0,0,0,0,TRUE,228.061239849089,56.8623408353737,0.12827244195497,0,0,263.720150895325,0,0.0259922644038079,0,0.00952615394252268,4.53034847317262,NA,NA,0,0,135.639499704896,0,0.0135303642173577,0,0.0141749351843572,1.27626842969916,468.122479698179,470.031570607269,38.9159498706441,3.5441235774706e-09,7.62916263600906e-10
"56",56,"unconstrained","0:1:2:3","weibull",0,1,2,3,4,0,0,5,0,0,0,0,0,0,0,0,FALSE,226.938457705815,29.4052331744714,0.0389730852949027,0,0.012477108268377,5.97587607633207,0.268295535450261,0.0455206729769569,0,0,-7.36392595173584,NA,0.0123158688723107,0,0.00900067977974212,3.1205307675505,0.226790434264445,0.0206546996553504,0,0,1.46245373007042,467.87691541163,470.481566574421,39.3659458377956,2.83004586446522e-09,6.09202238449575e-10
"169",169,"socialEffectsOnly","0:0:1:0","weibull",0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,TRUE,229.627443281214,48.4266478143955,0.144592760922108,0,0,232.38140128336,0,0,0,0.00977521270602845,4.51134300666709,693.383120704391,0.329668484001872,0,0,119.99261906884,0,0,0,0.0146855393258462,1.3273895724287,469.254886562428,470.588219895761,39.4725991591359,2.68308233162676e-09,5.77566527417533e-10
"222",222,"additive","0:0:1:0","weibull",0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,TRUE,231.964875772501,413.952308923996,0.212204330234605,0,0,57.9482225232502,0,0.0258822131206354,0,0,0,1634.7165497381,0.417258128738022,0,0,18.5589417669694,0,0.0136274913838742,0,0,0,471.929751545002,472.799316762393,41.6836960257679,8.8817882573015e-10,1.91191434588487e-10
"238",238,"noILVs","0:0:1:0","weibull",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,233.532667858954,382.261892396395,0.296866159951942,0,0,51.7218326342346,0,0,0,0,0,457.113963984469,0.418556420461599,0,0,15.5909731919235,0,0,0,0,0,473.065335717908,473.57597401578,42.4603532791546,6.02353496434092e-10,1.29664011093657e-10
"173",173,"unconstrained","0:0:1:0","weibull",0,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,TRUE,231.936179397779,350.498559072009,0.197143068704432,0,0,54.5156254221223,0,0.0258762305183594,0,0.00366809660072646,0,1881.43765752928,0.42040667062197,0,0,22.5233962154432,0,0.0136231533359679,0,0.0152805035071451,0,473.872358795558,475.205692128892,44.0900713922663,2.66662928238362e-10,5.74024805866622e-11
"220",220,"socialEffectsOnly","0:0:1:0","weibull",0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,TRUE,233.504560446444,365.28566516691,0.281659091630982,0,0,48.6894628368608,0,0,0,0.00358294561276321,0,569.678670973206,0.422153142009476,0,0,19.4014582304014,0,0,0,0.0150879447675928,0,475.009120892887,475.878686110278,44.763065373653,1.90468805233358e-10,4.100075689936e-11
"5",5,"unconstrained","1:2:3:0","weibull",1,2,3,0,4,5,6,7,0,0,0,0,0,0,0,0,FALSE,229.448208747934,29.3543911966218,0.0684897953041114,0.0487979027384942,0.00600916640848941,2.80768215336305,0,0.0103436009712627,-2.29231181768073,0.00711220339712168,-7.65215467366247,17.8504958367705,NA,0.0600001412317454,0.00870462364078036,2.72854607246008,0,0.025525426273539,NA,0.0170268710588573,3.08845087909695,476.896417495868,481.286661398307,50.1710406616814,1.27496113028383e-11,2.74451090795971e-12
"31",31,"unconstrained","1:2:3:0","weibull",1,2,3,0,4,5,6,0,0,0,0,0,0,0,0,0,FALSE,233.705290728772,4.01677952809432,0.105105082873464,0.154105065554542,0.0304431817656172,9.48066931569059,0,-0.00772790332938786,-0.265576783205538,0.0339163629293827,0,19.8522188405163,0.0532051834312278,0.147853593086769,0.0304486653641521,2.8898699703471,0,0.025711318969564,0.382362755186743,0.0155197023237928,0,483.410581457544,486.839152886115,55.7235321494897,7.93941928105194e-13,1.70905781377523e-13
"145",145,"socialEffectsOnly","1:0:2:3","weibull",1,0,2,3,0,0,4,0,0,0,0,0,0,0,0,0,FALSE,236.485502081018,27.255983616225,0.135859726545912,0.0921048011037846,0,9.9054994392309,0.291543320021072,0,0,0.0306827193831633,0,NA,0.0203751073683428,0.0789485366415481,0,2.75173966016433,0.271996273683371,0,0,0.0140825688758856,0,484.971004162035,486.880095071126,55.7644743345008,7.7785429695418e-13,1.67442720572888e-13
