Box	Species	Ring	Tag	Who	Clutch size	Chick.weight	Fledged	Fledge.order	Notes	Location	Assigned.side	Treatment	Assigned.day	Failed
W43	GRETI	C5A1737	0700EE0474	Male						Guett				
W43	GRETI	C5H4642	0700ED8EBC	Chick		17.1				Guett				
W43	GRETI	C5H4643	0700EDFD12	Chick		16.2				Guett				
W43	GRETI	C5H4644	0700EDCB98	Chick		15.4				Guett				
W43	GRETI	C5H4645	0700ED9468	Chick		16.9				Guett				
W43	GRETI	C5H4646	0700EDA195	Chick		16.1				Guett				
W43	GRETI	C5H4647	0700EDF743	Chick		16				Guett				
W43	GRETI	C5H4648	0700EE0AE8	Chick		16.7				Guett				
W47	GRETI	C5H4160	0700EDB887	Female						Guett	right	opposite	46	
W47	GRETI	C5H4161	0700EE3953	Male						Guett	left	opposite	84	
W47	GRETI	C5H4904	0700EDBA7C	Chick		16.7				Guett				
W47	GRETI	C5H4905	0700EE2D56	Chick		15.4				Guett				
W47	GRETI	C5H4906	0700EE1492	Chick		16.1				Guett				
W47	GRETI	C5H4907	0700EDFDE4	Chick		16.1				Guett				
W49	GRETI	C5H4160	0700EDB887	Female						Guett	right	opposite	46	yes
W49	GRETI	C5H4161	0700EE3953	Male						Guett	left	opposite	84	yes
X03	GRETI	C5H4162	0700ED8E7B	Male						Guett	left	opposite	46	
X03	GRETI	C5H4614	0700ED866E	Female						Guett	right	opposite	46	
X03	GRETI	C5H4637	0700EDB07A	Chick		18.6				Guett				
X03	GRETI	C5H4638	0700EDE9D3	Chick		16.4				Guett				
X03	GRETI	C5H4639	0700ED92AE	Chick		16.7				Guett				
X03	GRETI	C5H4640	0700EDA741	Chick		19				Guett				
X03	GRETI	C5H4641	0700EDB09C	Chick		16.8				Guett				
X05	GRETI	C5H4159	0700EE31B4	Female						Guett	right	same	46	
X05	GRETI	C5A1328	0700ED9727	Male						Guett	right	same	46	
X05	GRETI	C5H4616	0700EE0355	Chick		15.3				Guett				
X05	GRETI	C5H4617	0700EE1A0A	Chick		15.1				Guett				
X05	GRETI	C5H4618	0700EDB44E	Chick		15.7				Guett				
X05	GRETI	C5H4619	0700EE100E	Chick		16.5				Guett				
X05	GRETI	C5H4620	0700EDFA1F	Chick		14.2				Guett				
X05	GRETI	C5H4621	0700EDCBC4	Chick		16.3				Guett				
X08	BLUTI	B4R7681	01101792EF	Female						Guett				
X08	BLUTI	B4R7722	01101797AA	Male						Guett	right		54	
X08	BLUTI	B5H0149	0110179485	Chick		11.3				Guett				
X08	BLUTI	B5H0150	011017941F	Chick		11.1				Guett				
X08	BLUTI	B5H0151	0700EDEA50	Chick		10.6				Guett				
X08	BLUTI	B5H0152	011017A61A	Chick		11.7				Guett				
X08	BLUTI	B5H0153	01101792F4	Chick		10.6				Guett				
X08	BLUTI	B5H0154	0110176477	Chick		11.4				Guett				
X08	BLUTI	B5H0155	0110178841	Chick		11.5				Guett				
X08	BLUTI	B5H0156	01101796FB	Chick		11.8				Guett				
X08	BLUTI	B5H0157	030002DCC9	Chick		10.7				Guett				
X09	GRETI	C5H4676		Chick		14.8				Guett				
X09	GRETI	C5H4040	0700EE19DF	Female						Guett	left	opposite	46	
X09	GRETI	C5H4151	0700EE0E0E	Male						Guett	right	opposite	46	
X09	GRETI	C5H4670	0700EDC2D8	Chick		18.9				Guett				
X09	GRETI	C5H4671	0700ED875B	Chick		19.5				Guett				
X09	GRETI	C5H4672	0700ED9ADA	Chick		17.5				Guett				
X09	GRETI	C5H4673	0700EE3EC4	Chick		17.4				Guett				
X09	GRETI	C5H4674	0700EDF25A	Chick		18.2				Guett				
X09	GRETI	C5H4675	0700ED8821	Chick		18.8				Guett				
X11	GRETI	C5A1724	0700EDB6F5	Female						Guett	left	opposite	46	
X11	GRETI	C5A1725	0700EE08C4	Male						Guett	right	opposite	46	
X11	GRETI	C5H4627	0700EDF89D	Chick		14.5				Guett				
X11	GRETI	C5H4628	0700EDA098	Chick		14.3				Guett				
X11	GRETI	C5H4629	0700EE1F72	Chick		15.4				Guett				
X11	GRETI	C5H4630	0700EE0507	Chick		13.2				Guett				
X11	GRETI	C5H4631	0700EE33C3	Chick		11.4				Guett				
X16	BLUTI	B5H0143	0110178E06	Female						Guett	right	same	54	
X16	BLUTI	B4R7948	0700EDDC48	Male						Guett	right	same	46	
X16	BLUTI	B5H0159	0700EDF11E	Chick		10.7				Guett				
X16	BLUTI	B5H0160	0700EE047D	Chick		11.5				Guett				
X16	BLUTI	B5H0161	0700EDBA3D	Chick		10.6				Guett				
X16	BLUTI	B5H0162	011017A5CD	Chick		10.5				Guett				
X18	GRETI	C5A1774	0700EE1F17	Male						Guett	left	same	70	
X18	GRETI	C5H4689	0700EDEC96	Chick		13.4				Guett				
X18	GRETI	C5H4690	0700EE3416	Chick		16.5				Guett				
X18	GRETI	C5H4691	0700EE0F35	Chick		17.2				Guett				
X18	GRETI	C5H4692	0700EDDEE8	Chick		16.8				Guett				
X18	GRETI	C5H4693	0700EE02C2	Chick		17.5				Guett				
X18	GRETI	C5H4694	0700EDD579	Chick		15.7				Guett				
X18	GRETI	C5H4611	0700EE1709	Female						Guett	left	same	70	
X23	GRETI	C5A1959	0700EDF73E	Female						Guett				
X23	GRETI	C5H4414	0700EDC971	Male						Guett				
X23	GRETI	C5H4633	0700EE226E	Chick		14.6				Guett				
X23	GRETI	C5H4634	0700EE3A72	Chick		13.9				Guett				
X24	GRETI	C5H4613	0700EE37C4	Female						Guett				
X24	GRETI	C5A1732	0700EDB923	Male						Guett				
X24	GRETI	C5H4652	0700EE338C	Chick		15.9				Guett				
X24	GRETI	C5H4653	0700EDA33B	Chick		15.4				Guett				
X24	GRETI	C5H4654	0700EDAAF7	Chick		16.4				Guett				
X24	GRETI	C5H4655	0700EE36CB	Chick		15.3				Guett				
X24	GRETI	C5H4656	0700EE3B1F	Chick		15.6				Guett				
X24	GRETI	C5H4657	0700EE2110	Chick		14				Guett				
X24	GRETI	C5H4658	0700EDD4C3	Chick		16.5				Guett				
X30	GRETI	C5A1735	0700EDBFE4	Female						Guett				yes
X33	GRETI	C5H4612	0700EE3AF5	Female						Guett				yes
Y09	GRETI	C5H4695	0700EE06D6	Female						Guett				
Y09	GRETI	C5H4696	0700EE02BB	Male						Guett				
Y09	GRETI	C5H4901	0700EE22F8	Chick		10				Guett				
Y09	GRETI	C5H4902	0700EE3897	Chick		12.6				Guett				
Y09	GRETI	C5H4903	0700ED8D6A	Chick		13				Guett				
Y11	GRETI	C5A1774	0700EE1F17	Male						Guett	left	same	70	yes
Y11	GRETI	C5H4611	0700EE1709	Female						Guett	left	same	70	yes
Y13	GRETI	C5A1759	0700EDDCD2	Female						Guett				
Y13	GRETI	C5A1321	0700ED8B08	Male						Guett				
Y13	GRETI	C5H4678	0700EDAA94	Chick		16.8				Guett				
Y13	GRETI	C5H4679	0700EDFC5A	Chick		16.3				Guett				
Y13	GRETI	C5H4680	0700EDC552	Chick		17				Guett				
Y13	GRETI	C5H4681	0700EDC197	Chick		18.2				Guett				
Y13	GRETI	C5H4682	0700EE173A	Chick		17				Guett				
Y15	BLUTI	B5H0126	0700EE142A	Male						Guett				
Y15	BLUTI	B5H0146	0110179213	Female						Guett				
Y15	BLUTI	B5H0167	0700ED8AA1	Chick		11.2				Guett				
Y15	BLUTI	B5H0168	0700EDF4FB	Chick		9.5				Guett				
Y15	BLUTI	B5H0169	0110179D98	Chick		11.9				Guett				
Y15	BLUTI	B5H0170	0700EE3D8B	Chick		10.9				Guett				
